Time resolution is 1 ps
Time=647000 | PC=8 | Mem[200]=7 | Mem[198]=2520 | R2=5040 | R10=200 | R3=1 | HALTED=0 | TAKEN_BRANCH=0
Time=667000 | PC=9 | Mem[200]=7 | Mem[198]=2520 | R2=5040 | R10=200 | R3=1 | HALTED=0 | TAKEN_BRANCH=0
Time=685000 | PC=9 | Mem[200]=7 | Mem[198]=2520 | R2=5040 | R10=200 | R3=1 | HALTED=0 | TAKEN_BRANCH=1
Time=687000 | PC=5 | Mem[200]=7 | Mem[198]=2520 | R2=5040 | R10=200 | R3=1 | HALTED=0 | TAKEN_BRANCH=0
Time=697000 | PC=5 | Mem[200]=7 | Mem[198]=5040 | R2=5040 | R10=200 | R3=1 | HALTED=0 | TAKEN_BRANCH=0
Time=707000 | PC=6 | Mem[200]=7 | Mem[198]=5040 | R2=5040 | R10=200 | R3=1 | HALTED=0 | TAKEN_BRANCH=0
Time=727000 | PC=7 | Mem[200]=7 | Mem[198]=5040 | R2=5040 | R10=200 | R3=1 | HALTED=0 | TAKEN_BRANCH=0
Time=747000 | PC=8 | Mem[200]=7 | Mem[198]=5040 | R2=5040 | R10=200 | R3=0 | HALTED=0 | TAKEN_BRANCH=0
Time=767000 | PC=9 | Mem[200]=7 | Mem[198]=5040 | R2=5040 | R10=200 | R3=0 | HALTED=0 | TAKEN_BRANCH=0
Time=787000 | PC=10 | Mem[200]=7 | Mem[198]=5040 | R2=5040 | R10=200 | R3=0 | HALTED=0 | TAKEN_BRANCH=0
Time=807000 | PC=11 | Mem[200]=7 | Mem[198]=5040 | R2=5040 | R10=200 | R3=0 | HALTED=0 | TAKEN_BRANCH=0
Time=827000 | PC=12 | Mem[200]=7 | Mem[198]=5040 | R2=5040 | R10=200 | R3=0 | HALTED=1 | TAKEN_BRANCH=0
